EmployeeNumber,EmployeeName,Department,JobRole,Attrition_Prob,Risk,occupation_title,gap_count,skill_gap,recommendation
60,Linda Campbell,Sales,Sales Executive,0.325,MEDIUM,Sales Managers,4,"Active Learning, Critical Thinking, Monitoring, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
61,Nancy Hall,Research & Development,Research Scientist,0.582,MEDIUM,Natural Sciences Managers,3,"Microsoft Office software, Reading Comprehension, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
62,Camila Wang,Sales,Sales Executive,0.605,HIGH,Sales Managers,3,"Microsoft Excel, Microsoft Office software, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
63,Paul Shah,Research & Development,Laboratory Technician,0.041,LOW,Chemical Technicians,2,"Science, Writing",Priority: Writing -> Business Writing Essentials
64,Jonas Rahman,Research & Development,Laboratory Technician,0.975,HIGH,Chemical Technicians,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
65,Jessica Hill,Research & Development,Laboratory Technician,0.893,HIGH,Chemical Technicians,4,"Active Listening, Critical Thinking, Science, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
68,Jun Thomas,Sales,Sales Executive,0.547,MEDIUM,Sales Managers,3,"Microsoft PowerPoint, Monitoring, Speaking",Priority: Monitoring -> Performance Monitoring & KPIs
70,Deborah Rao,Research & Development,Healthcare Representative,0.296,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Critical Thinking, Microsoft Office software, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
72,Paul Ramirez (72),Sales,Sales Executive,0.925,HIGH,Sales Managers,2,"Critical Thinking, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
73,Jun Shah (73),Research & Development,Research Director,0.232,LOW,Natural Sciences Managers,3,"Active Listening, Monitoring, Writing",Priority: Active Listening -> Active Listening for Managers
74,Ananya Wright,Sales,Sales Executive,0.471,MEDIUM,Sales Managers,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
75,Jessica King,Research & Development,Laboratory Technician,0.794,HIGH,Chemical Technicians,4,"Active Listening, Microsoft Office software, Microsoft Outlook, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
76,Ivan Rivera (76),Research & Development,Laboratory Technician,0.057,LOW,Chemical Technicians,2,"Microsoft Office software, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
77,Diego Siddiqui,Research & Development,Manufacturing Director,0.027,LOW,Industrial Production Managers,2,"Active Listening, Speaking",Priority: Active Listening -> Active Listening for Managers
78,Liu Iyer,Research & Development,Manufacturing Director,0.471,MEDIUM,Industrial Production Managers,3,"Microsoft Excel, Microsoft Outlook, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
79,Aisha Ahmed,Research & Development,Laboratory Technician,0.72,HIGH,Chemical Technicians,1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
80,Lee Zhao,Research & Development,Research Director,0.372,MEDIUM,Natural Sciences Managers,2,"Microsoft PowerPoint, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
81,Brian Nair,Sales,Sales Executive,0.479,MEDIUM,Sales Managers,3,"Critical Thinking, Microsoft Outlook, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
83,Anthony Lee,Research & Development,Healthcare Representative,0.052,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Active Listening, Microsoft Office software, Microsoft Outlook, Writing",Priority: Active Listening -> Active Listening for Managers
84,Tran Moore (84),Research & Development,Manager,0.046,LOW,General and Operations Managers,2,"Active Learning, Active Listening",Priority: Active Listening -> Active Listening for Managers
85,Anna Lee,Research & Development,Manufacturing Director,0.475,MEDIUM,Industrial Production Managers,5,"Critical Thinking, Microsoft Office software, Microsoft PowerPoint, Monitoring, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
86,Steven Campbell,Research & Development,Research Scientist,0.071,LOW,Natural Sciences Managers,2,"Microsoft Office software, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
88,Diego Liu,Research & Development,Research Scientist,0.447,MEDIUM,Natural Sciences Managers,4,"Active Listening, Critical Thinking, Reading Comprehension, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
90,Mark Clark,Research & Development,Research Scientist,0.728,HIGH,Natural Sciences Managers,3,"Microsoft Office software, Monitoring, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
91,Neha Iyer,Sales,Sales Executive,0.433,MEDIUM,Sales Managers,4,"Microsoft Outlook, Microsoft PowerPoint, Monitoring, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
94,Anna Wilson,Research & Development,Research Scientist,0.016,LOW,Natural Sciences Managers,4,"Critical Thinking, Microsoft Excel, Reading Comprehension, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
95,Patricia Shah,Research & Development,Research Scientist,0.404,MEDIUM,Natural Sciences Managers,3,"Microsoft Excel, Microsoft Office software, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
96,David Thomas,Research & Development,Research Scientist,0.062,LOW,Natural Sciences Managers,2,"Monitoring, Science",Priority: Monitoring -> Performance Monitoring & KPIs
97,Ali Zhang,Research & Development,Laboratory Technician,0.428,MEDIUM,Chemical Technicians,2,"Active Listening, Writing",Priority: Active Listening -> Active Listening for Managers
98,Steven Moreau,Research & Development,Manufacturing Director,0.031,LOW,Industrial Production Managers,1,Active Listening,Priority: Active Listening -> Active Listening for Managers
100,Joshua Brown,Sales,Sales Executive,0.271,LOW,Sales Managers,2,"Microsoft Excel, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
101,Steven Clark (101),Research & Development,Research Director,0.07,LOW,Natural Sciences Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
102,Wei Ali,Research & Development,Research Director,0.117,LOW,Natural Sciences Managers,4,"Microsoft Office software, Monitoring, Science, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
103,Tariq Garcia (103),Human Resources,Human Resources,0.565,MEDIUM,Human Resources Specialists,4,"Active Listening, Applicant tracking software, Critical Thinking, Microsoft Outlook",Priority: Critical Thinking -> Structured Problem Solving workshop
104,Karen Ali (104),Research & Development,Laboratory Technician,0.738,HIGH,Chemical Technicians,1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
105,Elizabeth Wang,Research & Development,Research Scientist,0.191,LOW,Natural Sciences Managers,2,"Reading Comprehension, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
106,Neha Moreau,Sales,Sales Executive,0.116,LOW,Sales Managers,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
107,Ali Gupta,Research & Development,Research Scientist,0.078,LOW,Natural Sciences Managers,2,"Microsoft Office software, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
110,Choi Lewis,Research & Development,Manufacturing Director,0.22,LOW,Industrial Production Managers,1,Learning Strategies,Priority: Learning Strategies -> Instructional Design Basics
112,Kim Rao,Research & Development,Manufacturing Director,0.055,LOW,Industrial Production Managers,5,"Critical Thinking, Microsoft Excel, Monitoring, Reading Comprehension, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
113,George Lee,Sales,Sales Representative,0.817,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Critical Thinking, Microsoft Excel, Microsoft Office software, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
116,Joshua Nelson,Research & Development,Laboratory Technician,0.034,LOW,Chemical Technicians,4,"Active Listening, Microsoft Excel, Monitoring, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
117,Priya Rodriguez (117),Research & Development,Healthcare Representative,0.049,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Salesforce software,Priority: Salesforce software -> Salesforce Administrator Certification
118,Tran Petrov (118),Sales,Sales Executive,0.229,LOW,Sales Managers,1,Microsoft PowerPoint,Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
119,Donald Campbell,Research & Development,Healthcare Representative,0.312,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Speaking,Priority: Speaking -> Public Speaking & Presentation Skills
120,Kim Lewis,Sales,Sales Executive,0.704,HIGH,Sales Managers,2,"Microsoft Office software, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
121,Betty Liu,Sales,Sales Executive,0.303,MEDIUM,Sales Managers,2,"Critical Thinking, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
124,Anthony Ferrari,Research & Development,Healthcare Representative,0.634,HIGH,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Active Listening, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
125,Deborah Lewis,Sales,Sales Executive,0.454,MEDIUM,Sales Managers,2,"Active Learning, Monitoring",Priority: Monitoring -> Performance Monitoring & KPIs
126,Tariq Kumar,Research & Development,Research Director,0.071,LOW,Natural Sciences Managers,4,"Active Listening, Critical Thinking, Microsoft Excel, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
128,Deborah Kowalski,Sales,Sales Executive,0.181,LOW,Sales Managers,2,"Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Office software -> Microsoft Office Essentials
129,Nguyen Malik,Sales,Sales Executive,0.092,LOW,Sales Managers,3,"Active Learning, Critical Thinking, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
131,Olga Rao,Sales,Sales Executive,0.029,LOW,Sales Managers,2,"Microsoft Office software, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
132,Liu Ali (132),Research & Development,Laboratory Technician,0.214,LOW,Chemical Technicians,4,"Microsoft Excel, Microsoft Office software, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
133,Olga Miller,Human Resources,Human Resources,0.694,HIGH,Human Resources Specialists,1,Active Listening,Priority: Active Listening -> Active Listening for Managers
134,Elena Gupta,Research & Development,Research Scientist,0.357,MEDIUM,Natural Sciences Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
137,Jonas Gonzalez,Research & Development,Laboratory Technician,0.936,HIGH,Chemical Technicians,1,Writing,Priority: Writing -> Business Writing Essentials
138,Brian Rahman (138),Research & Development,Research Scientist,0.05,LOW,Natural Sciences Managers,2,"Reading Comprehension, Science",Priority: Reading Comprehension -> Business Writing & Comprehension
139,Elizabeth Ibrahim (139),Research & Development,Healthcare Representative,0.007,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Active Listening, Microsoft Excel, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
140,Melissa Rivera,Human Resources,Manager,0.013,LOW,General and Operations Managers,2,"Microsoft Excel, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
141,Mary Wright,Research & Development,Research Director,0.152,LOW,Natural Sciences Managers,2,"Microsoft Office software, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
142,Richard Smith,Sales,Sales Executive,0.905,HIGH,Sales Managers,5,"Active Listening, Critical Thinking, Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
143,Jonas Zhao (143),Research & Development,Research Scientist,0.119,LOW,Natural Sciences Managers,3,"Microsoft Excel, Microsoft Office software, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
144,Diego Iyer (144),Research & Development,Laboratory Technician,0.606,HIGH,Chemical Technicians,2,"Microsoft Excel, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
145,Anna Roberts,Research & Development,Healthcare Representative,0.574,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Active Learning, Reading Comprehension, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
147,Zhang Torres,Research & Development,Laboratory Technician,0.939,HIGH,Chemical Technicians,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
148,Susan Zhao (148),Human Resources,Manager,0.103,LOW,General and Operations Managers,2,"Monitoring, Speaking",Priority: Monitoring -> Performance Monitoring & KPIs
150,Sarah Ahmed,Research & Development,Laboratory Technician,0.443,MEDIUM,Chemical Technicians,4,"Active Listening, Microsoft Office software, Monitoring, Science",Priority: Active Listening -> Active Listening for Managers
151,Betty Gupta,Research & Development,Research Scientist,0.202,LOW,Natural Sciences Managers,3,"Microsoft Office software, Microsoft PowerPoint, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
152,Sergei Nguyen,Sales,Sales Executive,0.225,LOW,Sales Managers,4,"Critical Thinking, Microsoft Office software, Monitoring, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
153,Charles Petrov,Research & Development,Manager,0.094,LOW,General and Operations Managers,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
154,Kim Green,Sales,Sales Executive,0.123,LOW,Sales Managers,3,"Microsoft Excel, Reading Comprehension, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
155,Timothy Moore,Research & Development,Laboratory Technician,0.402,MEDIUM,Chemical Technicians,3,"Critical Thinking, Microsoft Excel, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
158,Amanda Park,Sales,Manager,0.187,LOW,General and Operations Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
159,Wei Chen (159),Research & Development,Research Scientist,0.125,LOW,Natural Sciences Managers,2,"Critical Thinking, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
160,Anna Hall,Sales,Sales Executive,0.057,LOW,Sales Managers,3,"Microsoft Outlook, Microsoft PowerPoint, Monitoring",Priority: Monitoring -> Performance Monitoring & KPIs
161,Hiro Hill,Research & Development,Research Scientist,0.73,HIGH,Natural Sciences Managers,3,"Microsoft Excel, Monitoring, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
162,Elena Moreau,Research & Development,Research Director,0.193,LOW,Natural Sciences Managers,4,"Active Listening, Critical Thinking, Microsoft PowerPoint, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
163,Mei Kowalski,Sales,Sales Executive,0.901,HIGH,Sales Managers,2,"Microsoft Office software, Microsoft Outlook",Priority: Microsoft Office software -> Microsoft Office Essentials
164,Chen Shah,Research & Development,Research Scientist,0.131,LOW,Natural Sciences Managers,4,"Critical Thinking, Monitoring, Reading Comprehension, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
165,Charles Huang,Research & Development,Healthcare Representative,0.009,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Microsoft Office software, Speaking, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
167,Ling Davis,Sales,Sales Representative,0.973,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Active Listening, Microsoft Excel, Reading Comprehension, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
169,David Davis,Research & Development,Laboratory Technician,0.401,MEDIUM,Chemical Technicians,3,"Active Listening, Science, Writing",Priority: Active Listening -> Active Listening for Managers
170,Mei Allen,Research & Development,Manufacturing Director,0.09,LOW,Industrial Production Managers,2,"Microsoft Excel, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
171,Ivan Mitchell,Research & Development,Research Scientist,0.191,LOW,Natural Sciences Managers,4,"Active Listening, Reading Comprehension, Science, Writing",Priority: Active Listening -> Active Listening for Managers
174,Dmitri Ivanova,Sales,Sales Executive,0.353,MEDIUM,Sales Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
175,Lee Huang (175),Sales,Sales Executive,0.885,HIGH,Sales Managers,3,"Active Learning, Active Listening, Monitoring",Priority: Active Listening -> Active Listening for Managers
176,Linda Ali,Sales,Sales Executive,0.319,MEDIUM,Sales Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
177,Arjun Nelson,Human Resources,Human Resources,0.073,LOW,Human Resources Specialists,3,"Active Listening, Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
178,Brian Petrov,Research & Development,Manufacturing Director,0.263,LOW,Industrial Production Managers,2,"Microsoft Outlook, Microsoft PowerPoint",Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
179,Yusuf Hassan (179),Research & Development,Manufacturing Director,0.227,LOW,Industrial Production Managers,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
182,Mark Jackson,Sales,Sales Executive,0.045,LOW,Sales Managers,4,"Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
183,Tariq Mitchell,Sales,Sales Executive,0.481,MEDIUM,Sales Managers,1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
184,Elizabeth Ramirez,Human Resources,Human Resources,0.599,MEDIUM,Human Resources Specialists,5,"Active Learning, Applicant tracking software, Critical Thinking, Microsoft Office software, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
190,Joseph Moore,Research & Development,Laboratory Technician,0.759,HIGH,Chemical Technicians,3,"Microsoft Office software, Microsoft Outlook, Monitoring",Priority: Microsoft Office software -> Microsoft Office Essentials
192,Brian Harris,Research & Development,Research Scientist,0.291,LOW,Natural Sciences Managers,2,"Critical Thinking, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
193,Barbara Adams,Research & Development,Research Scientist,0.481,MEDIUM,Natural Sciences Managers,3,"Active Listening, Microsoft Excel, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
194,Andrew Rodriguez,Research & Development,Research Scientist,0.294,LOW,Natural Sciences Managers,1,Microsoft PowerPoint,Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
195,Patricia Smith,Sales,Sales Executive,0.032,LOW,Sales Managers,5,"Active Learning, Active Listening, Critical Thinking, Microsoft Outlook, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
197,Divya Miller,Research & Development,Research Scientist,0.141,LOW,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
198,Liu Siddiqui (198),Research & Development,Laboratory Technician,0.355,MEDIUM,Chemical Technicians,2,"Critical Thinking, Microsoft Outlook",Priority: Critical Thinking -> Structured Problem Solving workshop
199,Ling Ahmed,Research & Development,Manager,0.284,LOW,General and Operations Managers,2,"Critical Thinking, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
200,Barbara Ferrari,Research & Development,Laboratory Technician,0.217,LOW,Chemical Technicians,2,"Active Listening, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
201,Nguyen White,Research & Development,Laboratory Technician,0.744,HIGH,Chemical Technicians,1,Writing,Priority: Writing -> Business Writing Essentials
